time,ax,ay,az,aT
0.601000,0.0361,-0.0126,-0.0494,0.062
0.606000,0.0025,-0.0304,0.0954,0.100
0.610000,-0.0266,-0.0358,-0.0142,0.047
0.617000,-0.0556,-0.0166,0.0472,0.075
0.628000,-0.0012,0.0140,0.0255,0.029
0.629000,-0.0198,0.0160,-0.0142,0.029
0.629000,-0.0004,-0.0402,0.0717,0.082
0.636000,-0.0113,-0.0489,-0.0203,0.054
0.638000,-0.0229,0.0263,0.0425,0.055
0.645000,0.0610,0.0641,0.1193,0.149
0.650000,0.1275,0.0078,-0.0419,0.134
0.653000,0.1339,-0.0129,-0.1367,0.192
0.659000,0.1087,0.0693,0.0741,0.149
0.670000,0.0513,0.1078,-0.0207,0.121
0.670000,0.0251,0.0665,-0.0321,0.078
0.674000,0.0048,0.0389,0.1157,0.122
0.679000,-0.0382,0.0065,0.0325,0.051
0.685000,-0.0365,-0.0903,0.0488,0.109
0.689000,-0.0430,-0.2000,0.0582,0.213
0.695000,-0.0623,-0.2173,-0.0968,0.246
0.700000,-0.0718,-0.1413,-0.0031,0.159
0.704000,-0.0486,-0.0753,0.1382,0.165
0.710000,0.0172,-0.0228,0.0024,0.029
0.715000,0.0765,-0.0113,-0.0555,0.095
0.720000,0.1089,-0.0762,0.0649,0.148
0.725000,0.0818,-0.0820,0.0886,0.146
0.730000,0.0271,-0.0678,0.0340,0.081
0.736000,-0.0326,-0.0709,0.0734,0.107
0.739000,-0.0427,-0.0168,0.0971,0.107
0.744000,0.0098,-0.0120,0.0416,0.044
0.750000,0.0775,-0.0336,-0.0429,0.095
0.761000,0.0874,-0.0442,0.1298,0.163
0.764000,0.1376,-0.0650,-0.0796,0.172
0.770000,0.1538,-0.0106,-0.0766,0.172
0.774000,0.0305,0.0481,0.1339,0.145
0.779000,-0.0171,0.0671,0.0155,0.071
0.786000,-0.0292,0.0669,0.0713,0.102
0.790000,-0.0702,0.1090,0.0563,0.141
0.794000,-0.0163,0.0902,0.0952,0.132
0.800000,0.0527,0.0747,-0.0319,0.097
0.805000,0.0893,0.0781,-0.0492,0.128
0.809000,0.0506,0.0044,0.1589,0.167
0.813000,0.0383,0.0149,-0.0906,0.100
0.817000,0.0285,0.0266,-0.0266,0.047
0.821000,0.0029,0.0154,0.1130,0.114
0.826000,-0.0791,-0.0104,-0.0052,0.080
0.831000,-0.0417,0.0256,-0.0129,0.051
0.836000,0.0311,0.0516,0.0725,0.094
0.841000,0.0013,0.0589,-0.0630,0.086
0.847000,0.0797,0.0717,0.0275,0.111
0.853000,-0.0159,0.0094,0.0604,0.063
0.856000,-0.0041,0.0138,-0.0160,0.022
